NO,category,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
510,中国系列,李碧华鬼魅系列【1.2】, 2.32 GiB,1280 * 720, 1h 52mn,2947 Kbps,无字幕或内嵌字幕,梦幻天堂·龙网(killman.net).720p.李碧华鬼魅系列1之迷离夜.mkv,0,中国系列1_2T
511,中国系列,江湖情【1.2】, 3.20 GiB,1280 * 720, 1h 44mn,4389 Kbps,无字幕或内嵌字幕,江湖情.Black.Vengeance.1987.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv,0,中国系列1_2T
512,中国系列,江湖情【1.2】, 3.00 GiB,1280 * 720, 1h 36mn,4433 Kbps,无字幕或内嵌字幕,英雄好汉.Rich.and.Famous.1987.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv,0,中国系列1_2T
513,中国系列,洗黑钱【1.2】, 4.37 GiB,1280 * 682, 1h 35mn,6524 Kbps,外挂中文,Tiger.Cage.2.1990.BluRay.720p.AC3.2Audio.x264-CHD.mkv,0,中国系列1_2T
514,中国系列,洗黑钱【1.2】, 2.46 GiB,1280 * 720, 1h 33mn,3779 Kbps,无字幕或内嵌字幕,特警屠龙Tiger.Cage.1988.BluRay.720p.AC3.2Audio.x264-CnSCG.mkv,0,中国系列1_2T
515,中国系列,澳门风云【1.2】, 3.33 GiB,1280 * 536, 1h 33mn,5105 Kbps,无字幕或内嵌字幕,The Man From Macau.2014.720P.WEB-DL.X264.AC3.2Audio.mkv,0,中国系列1_2T
516,中国系列,澳门风云【1.2】, 4.79 GiB,1280 * 536, 1h 50mn,6218 Kbps,无字幕或内嵌字幕,澳门风云2.From.Vegas.to Macau.II.2015.720p.BluRay.x264-WiKi.mkv,0,中国系列1_2T
517,中国系列,烈火战场【1.2】, 1.20 GiB,1024 * 560, 1h 48mn,1582 Kbps,无字幕或内嵌字幕,[无忧无虑-bbs.bt5156.com].烈火战车.1024x560.国粤双语.中文字幕.mkv,0,中国系列1_2T
518,中国系列,烈火战场【1.2】, 1.14 GiB,1024 * 576, 1h 49mn,1491 Kbps,无字幕或内嵌字幕,[无极电影-www.wujidy.com].烈火战车2.1024x560.国粤双语.中文字幕.mkv,0,中国系列1_2T
519,中国系列,狄仁杰【1.2】, 3.80 GiB,1280 * 720, 2h 14mn,4063 Kbps,无字幕或内嵌字幕,[狄仁杰之神都龙王]Young.Detective.Dee.Rise.of.the.Sea.Dragon.2013.BluRay.720p.x264.AC3-CnSCG[国语中字3.8G].mkv,0,中国系列1_2T
520,中国系列,狄仁杰【1.2】, 6.50 GiB,1280 * 544, 2h 3mn,7524 Kbps,外挂中文,Detective.Dee.And.The.Mystery.Of.The.Phantom.Flame.2010.BluRay.720p.DTS.2Audio.x264-CHD.mkv,0,中国系列1_2T
521,中国系列,画皮【1.2】, 2.38 GiB,1280 * 720, 1h 58mn,2885 Kbps,无字幕或内嵌字幕,[画皮].Painted.Skin.2008.BluRay.720p.x264.AC3-CMCT.mkv,0,中国系列1_2T
522,中国系列,画皮【1.2】, 3.59 GiB,1280 * 720, 2h 11mn,3911 Kbps,无字幕或内嵌字幕,[画皮2].Painted.Skin.The.Resurrection.2012.BluRay.720p.x264.AC3-CMCT.mkv,0,中国系列1_2T
523,中国系列,痞子英雄【1.2】, 2.30 GiB,1280 * 720, 2h 37mn,2093 Kbps,无字幕或内嵌字幕,[痞子英雄之全面开战]Black.White.Episode.1.The.Dawn.of.Assault.2012.BluRay.720p.x264.AAC-iSCG[国语中字2.3G].mp4,0,中国系列1_2T
524,中国系列,痞子英雄【1.2】, 2.20 GiB,1280 * 544, 2h 0mn,2603 Kbps,无字幕或内嵌字幕,Black and White The Dawn of Justice.2014.mp4,0,中国系列1_2T
525,中国系列,白发魔女传【1.2】, 1.36 GiB,720 * 288, 1h 28mn,2200 Kbps,外挂中文,[白发魔女传1(国粤双语)].The.Bride.With.White.Hair.I.1993.DVDrip.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
526,中国系列,白发魔女传【1.2】, 1.37 GiB,720 * 416, 1h 20mn,2431 Kbps,外挂中文,[白发魔女传2(国粤双语)].The.Bride.With.White.Hair.II.1993.DVDrip.x264.AC3.2Audios-CMCT.mkv,0,中国系列1_2T
527,中国系列,皇家师姐【1.2.3.4.5.6.7】, 2.71 GiB,1280 * 720, 1h 33mn,4153 Kbps,无字幕或内嵌字幕,Police.Assassins.1985.BluRay.720p.x264.2Audio.AC3-CnSCG.mkv,0,中国系列1_2T
