No,中文文件名,文件大小,画面尺寸,视频时长,视频码率,文件路径,文件Root,文件名称
238,冷血十三鹰, 2.84 GiB,1904 * 810, 1h 26mn,4676 Kbps,WEB_DL,,冷血十三鹰.The.Avenging.Eagle.1978.1080p.WEB-DL x264.AAC-HD.mkv
239,出笼马骝, 3.05 GiB,1904 * 814, 1h 29mn,4869 Kbps,WEB_DL,,出笼马骝.Monkey.Kung.Fu.1979.1080p.WEB-DL.x264.AAC-HD.mkv
240,十八般武艺, 3.68 GiB,1918 * 816, 1h 40mn,5224 Kbps,WEB_DL,,十八般武艺.Legendary.Weapons.of.China.1982.1080p.WEB-DL x264.AAC-HD.mkv
241,南北狮王, 3.62 GiB,1920 * 816, 1h 44mn,4949 Kbps,WEB_DL,,南北狮王.Lion.vs.Lion.1981.1080p.WEB-DL.x264.AAC-HD.mkv
242,少林子弟, 2.58 GiB,960 * 542, 1h 28mn,4166 Kbps,WEB_DL,,少林子弟.Men from the Monastery 1974 720p WEB-DL x264 AAC-HD.mkv
243,洪文定三破白莲教, 3.41 GiB,1920 * 814, 1h 29mn,5429 Kbps,WEB_DL,,洪文定三破白莲教.Clan.of.the.White.Lotus.1980.1080p.WEB-DL.x264.AAC-HD.mkv
244,洪熙官, 3.29 GiB,1904 * 814, 1h 36mn,4889 Kbps,WEB_DL,,洪熙官.Executioners.From.Shaolin.1977.1080p.WEB-DL.x264.AC3-HD.mkv
245,清宫大刺杀, 2.91 GiB,1920 * 814, 1h 28mn,4721 Kbps,WEB_DL,,清宫大刺杀.The.Flying.Guillotine.2.1978.1080p.WEB-DL.x264.AAC-HD.mkv
246,生死门, 3.27 GiB,1920 * 812, 1h 36mn,4875 Kbps,WEB_DL,,生死门.Life.Gamble.1978.1080p.WEB-DL.x264.AC3-HD.mkv
247,神雕侠侣, 3.27 GiB,1916 * 816, 1h 40mn,4637 Kbps,WEB_DL,,神雕侠侣.Brave.Archer.and.His.Mate.1982.1080p.WEB-DL.x264.AAC-HD.mkv
248,螳螂, 3.09 GiB,1912 * 814, 1h 36mn,4603 Kbps,WEB_DL,,螳螂.Shaolin.Mantis.1978.1080p.WEB-DL.x264.AAC-HD.mkv
249,铁旗门, 3.48 GiB,1920 * 804, 1h 48mn,4592 Kbps,WEB_DL,,铁旗门.The.Flag.of.Iron.1980.1080p.WEB-DL.x264.AAC-HD.mkv
250,长辈, 3.95 GiB,1916 * 812, 1h 54mn,4939 Kbps,WEB_DL,,长辈.My.Young.Auntie.1981.1080p.WEB-DL.x264.AAC-HD.mkv
251,飞龙斩, 2.61 GiB,1920 * 816, 1h 22mn,4557 Kbps,WEB_DL,,飞龙斩.The.Dragon.Missile.1976.1080p.WEB-DL.x264.AAC-HD.mkv
