NO,cagegory,Movie Name,File Size,Video Size,Video Length,Video Rate,Subtitle,File Name,filesize,disk
128,电影频道录制版,与魔鬼打交道的人, 2.42 GiB,1124 * 702, 1h 44mn,3323 Kbps,无字幕或内嵌字幕,与魔鬼打交道的人.1980.CCTV6.mkv,0,中国电影2
129,电影频道录制版,中俄列车大劫案, 4.29 GiB,1920 * 1088, 1h 21mn,7507 Kbps,无字幕或内嵌字幕,中俄列车大劫案.mpg,0,中国电影2
130,电影频道录制版,中华战士, 4.15 GiB,1280 * 720, 1h 26mn,6822 Kbps,无字幕或内嵌字幕,中华战士.1987.HD8.Magnificent.Warriors.1987.HDTV.x264-XSKTV.mkv,0,中国电影2
131,电影频道录制版,五月八月, 1.20 GiB,1280 * 720, 1h 23mn,2070 Kbps,无字幕或内嵌字幕,五月八月.May.August.2002.HDTV.720p.x264.AAC-iSCG.mp4,0,中国电影2
132,电影频道录制版,五朵金花, 4.37 GiB,1728 * 1080, 1h 33mn,6664 Kbps,无字幕或内嵌字幕,五朵金花.1959.1080iHDTVRip.x264.ac3.mkv,0,中国电影2
133,电影频道录制版,亲家过年, 3.85 GiB,1280 * 720, 1h 25mn,6429 Kbps,无字幕或内嵌字幕,亲家过年.CCTV6.In-Laws.New.Year.2012.HDTV.720p.x264-CHDTV.mkv,0,中国电影2
134,电影频道录制版,人到中年, 3.49 GiB,1920 * 1080, 1h 37mn,5136 Kbps,无字幕或内嵌字幕,人到中年.1982.CCTV6.mkv,0,中国电影2
135,电影频道录制版,侠女十三妹, 4.67 GiB,1280 * 720, 1h 39mn,6704 Kbps,无字幕或内嵌字幕,侠女十三妹.（1986）.mp4,0,中国电影2
136,电影频道录制版,侦察兵, 5.28 GiB,1920 * 1080, 1h 37mn,7727 Kbps,无字幕或内嵌字幕,侦察兵.1973.CCTV6.ts,0,中国电影2
137,电影频道录制版,傻冒经理, 4.03 GiB,1884 * 1080, 1h 29mn,6451 Kbps,无字幕或内嵌字幕,傻冒经理.1988 深圳影业公司 CCTV6 高清.mkv,0,中国电影2
